danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist(s),gender(of the atrist(s)),"type(solo, colab, grpup/band)",country,number_integrants,song_language,label
0.488,0.493,7,-7.87,1,0.0342,0.174,2.34E-06,0.353,0.399,79.442,audio_features,1vlDwedZUvYaxt2FXoYGaJ,spotify:track:1vlDwedZUvYaxt2FXoYGaJ,https://api.spotify.com/v1/tracks/1vlDwedZUvYaxt2FXoYGaJ,https://api.spotify.com/v1/audio-analysis/1vlDwedZUvYaxt2FXoYGaJ,247920,4,Held Down,['Laura Marling'],F,solo,England,1,English,F
0.695,0.847,8,-5.539,1,0.0485,0.447,0.071,0.216,0.825,116.092,audio_features,49FXvRiOm0uC85x4yhz5eP,spotify:track:49FXvRiOm0uC85x4yhz5eP,https://api.spotify.com/v1/tracks/49FXvRiOm0uC85x4yhz5eP,https://api.spotify.com/v1/audio-analysis/49FXvRiOm0uC85x4yhz5eP,179987,4,Blank Slate,['Chicano Batman'],M,band,United States,1,English,F
0.619,0.719,0,-4.111,1,0.157,0.0227,0,0.0839,0.351,86.036,audio_features,6t51aLe7rjZhKgONwt6btQ,spotify:track:6t51aLe7rjZhKgONwt6btQ,https://api.spotify.com/v1/tracks/6t51aLe7rjZhKgONwt6btQ,https://api.spotify.com/v1/audio-analysis/6t51aLe7rjZhKgONwt6btQ,194576,4,Back Home (feat. Summer Walker),"['Trey Songz', 'Summer Walker']",V,colab,United States,2,English,F
0.226,0.594,7,-5.046,1,0.0425,0.0359,0.00503,0.162,0.175,87.5,audio_features,3FN5547t8mXmJQQWIHLS3Y,spotify:track:3FN5547t8mXmJQQWIHLS3Y,https://api.spotify.com/v1/tracks/3FN5547t8mXmJQQWIHLS3Y,https://api.spotify.com/v1/audio-analysis/3FN5547t8mXmJQQWIHLS3Y,293600,4,Ohio,['King Princess'],F,solo,United States,1,English,F
0.636,0.763,2,-8.099,1,0.0441,0.135,0.107,0.0595,0.32,132.666,audio_features,0p7oSAo7L1nPXxtGMH3BzW,spotify:track:0p7oSAo7L1nPXxtGMH3BzW,https://api.spotify.com/v1/tracks/0p7oSAo7L1nPXxtGMH3BzW,https://api.spotify.com/v1/audio-analysis/0p7oSAo7L1nPXxtGMH3BzW,179040,4,Cellular,['King Krule'],M,solo,England,1,English,F
0.746,0.786,5,-4.708,0,0.0423,0.0221,8.33E-06,0.314,0.892,97.001,audio_features,3kwi7USngV73KrFkPOd41m,spotify:track:3kwi7USngV73KrFkPOd41m,https://api.spotify.com/v1/tracks/3kwi7USngV73KrFkPOd41m,https://api.spotify.com/v1/audio-analysis/3kwi7USngV73KrFkPOd41m,183213,4,love me better,['joan'],M,band,United States,1,English,FR
0.757,0.557,11,-5.167,0,0.0511,0.325,0,0.13,0.217,88.032,audio_features,5sJwRlYM8Wg9vGrfe0FNTO,spotify:track:5sJwRlYM8Wg9vGrfe0FNTO,https://api.spotify.com/v1/tracks/5sJwRlYM8Wg9vGrfe0FNTO,https://api.spotify.com/v1/audio-analysis/5sJwRlYM8Wg9vGrfe0FNTO,132739,4,100 Rounds,['FRVRFRIDAY'],M,solo,Canada,1,English,FR
0.545,0.478,8,-7.035,0,0.0559,0.785,0.00278,0.123,0.318,173.746,audio_features,2reL9PAUza4PUtbjqW1fRf,spotify:track:2reL9PAUza4PUtbjqW1fRf,https://api.spotify.com/v1/tracks/2reL9PAUza4PUtbjqW1fRf,https://api.spotify.com/v1/audio-analysis/2reL9PAUza4PUtbjqW1fRf,143976,4,Dolerme,['ROSALÃA'],F,solo,Spain,1,Spanish,F
0.86,0.594,7,-9.558,0,0.0563,0.0788,0.6,0.0395,0.811,108.054,audio_features,4NyrHyQHZer1Rf80d1aleb,spotify:track:4NyrHyQHZer1Rf80d1aleb,https://api.spotify.com/v1/tracks/4NyrHyQHZer1Rf80d1aleb,https://api.spotify.com/v1/audio-analysis/4NyrHyQHZer1Rf80d1aleb,309587,4,Fou,"[""L'ImpÃ©ratrice""]",V,band,France,1,French,F
0.737,0.706,4,-6.965,0,0.029,0.283,0.0636,0.304,0.933,136.007,audio_features,1lPjbmk2TylddPKESSIBfm,spotify:track:1lPjbmk2TylddPKESSIBfm,https://api.spotify.com/v1/tracks/1lPjbmk2TylddPKESSIBfm,https://api.spotify.com/v1/audio-analysis/1lPjbmk2TylddPKESSIBfm,236570,4,DÃ©solÃ© (feat. Fatoumata Diawara),"['Gorillaz', 'Fatoumata Diawara']",V,band-colab,England,2,English,F
0.822,0.743,10,-4.772,0,0.28,0.016,0,0.127,0.636,84.459,audio_features,5v4GgrXPMghOnBBLmveLac,spotify:track:5v4GgrXPMghOnBBLmveLac,https://api.spotify.com/v1/tracks/5v4GgrXPMghOnBBLmveLac,https://api.spotify.com/v1/audio-analysis/5v4GgrXPMghOnBBLmveLac,242001,4,Savage Remix (feat. BeyoncÃ©),"['Megan Thee Stallion', 'BeyoncÃ©']",F,colab,United States,2,English,FR
0.78,0.908,1,-5.429,1,0.194,0.0755,0.000428,0.339,0.623,134.985,audio_features,3OfJ6ja2JtoQ7SDwNY4MTO,spotify:track:3OfJ6ja2JtoQ7SDwNY4MTO,https://api.spotify.com/v1/tracks/3OfJ6ja2JtoQ7SDwNY4MTO,https://api.spotify.com/v1/audio-analysis/3OfJ6ja2JtoQ7SDwNY4MTO,155690,4,Antifa Dance,['Ana Tijoux'],F,solo,Chile,1,Spanish,F
