danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist(s),gender(of the atrist(s)),"type(solo, colab, grpup/band)",country,number_integrants,song_language,label,lat,long
0.67,0.803,9,-7.402,0,0.0369,0.133,0.0015,0.156,0.534,123.984,audio_features,494rSbjxSGfpm8s74CsSnh,spotify:track:494rSbjxSGfpm8s74CsSnh,https://api.spotify.com/v1/tracks/494rSbjxSGfpm8s74CsSnh,https://api.spotify.com/v1/audio-analysis/494rSbjxSGfpm8s74CsSnh,178064,4,Power Over Me - MEDUZA Remix,"['Dermot Kennedy', 'MEDUZA']",M,colab,Italy,2,English,RF,41.87194,12.56738
0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,audio_features,5p1ex0pXv6jSPJ6QbumQpD,spotify:track:5p1ex0pXv6jSPJ6QbumQpD,https://api.spotify.com/v1/tracks/5p1ex0pXv6jSPJ6QbumQpD,https://api.spotify.com/v1/audio-analysis/5p1ex0pXv6jSPJ6QbumQpD,152913,4,Piece Of Your Heart,"['MEDUZA', 'Goodboys']",M,colab,Italy,2,English,RF,41.87194,12.56738
0.578,0.748,0,-5.609,0,0.046,0.0326,0.00255,0.143,0.17,123.973,audio_features,0eHT54ehADNQkSypa0YGgp,spotify:track:0eHT54ehADNQkSypa0YGgp,https://api.spotify.com/v1/tracks/0eHT54ehADNQkSypa0YGgp,https://api.spotify.com/v1/audio-analysis/0eHT54ehADNQkSypa0YGgp,185806,4,Wild - MEDUZA Remix,"['John Legend', 'MEDUZA']",M,colab,Italy,2,English,RF,41.87194,12.56738
0.698,0.859,6,-5.234,0,0.0605,0.114,0.208,0.228,0.518,126.039,audio_features,2NZJKUPIGfJqLAzONNr4gv,spotify:track:2NZJKUPIGfJqLAzONNr4gv,https://api.spotify.com/v1/tracks/2NZJKUPIGfJqLAzONNr4gv,https://api.spotify.com/v1/audio-analysis/2NZJKUPIGfJqLAzONNr4gv,208095,4,Kill Me Slow,"['David Guetta', 'MORTEN']",M,colab,France,2,English,RF,8.308854091,5.458262364
0.785,0.626,4,-8.03,0,0.0675,0.158,4.60E-06,0.181,0.183,154.946,audio_features,4UEuIEv9Wc3wtiWUplGJ7q,spotify:track:4UEuIEv9Wc3wtiWUplGJ7q,https://api.spotify.com/v1/tracks/4UEuIEv9Wc3wtiWUplGJ7q,https://api.spotify.com/v1/audio-analysis/4UEuIEv9Wc3wtiWUplGJ7q,193211,4,Ser Bichote,['Bad Bunny'],M,solo,Puerto Rico,1,Spanish,RF,18.220833,-66.590149
0.43,0.412,2,-5.372,1,0.0281,0.2,0,0.324,0.0508,90.872,audio_features,09WAnxdBuebQopKhJT3oZS,spotify:track:09WAnxdBuebQopKhJT3oZS,https://api.spotify.com/v1/tracks/09WAnxdBuebQopKhJT3oZS,https://api.spotify.com/v1/audio-analysis/09WAnxdBuebQopKhJT3oZS,157673,4,TRELLAS,['Bad Bunny'],M,solo,Puerto Rico,1,Spanish,RF,18.220833,-66.590149
0.643,0.727,1,-5.506,1,0.0389,0.0439,0,0.123,0.295,90.019,audio_features,67ACYA3UI6QMNtHX6b34wX,spotify:track:67ACYA3UI6QMNtHX6b34wX,https://api.spotify.com/v1/tracks/67ACYA3UI6QMNtHX6b34wX,https://api.spotify.com/v1/audio-analysis/67ACYA3UI6QMNtHX6b34wX,162299,4,LA DROGA,['Bad Bunny'],M,solo,Puerto Rico,1,Spanish,R,18.220833,-66.590149
0.636,0.656,2,-5.542,0,0.0676,0.451,7.97E-06,0.287,0.439,171.918,audio_features,3KJ3opyV29269SXkPrc19l,spotify:track:3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/tracks/3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/audio-analysis/3KJ3opyV29269SXkPrc19l,151506,4,120,['Bad Bunny'],M,solo,Puerto Rico,1,Spanish,R,18.220833,-66.590149
0.731,0.573,4,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,audio_features,4MzXwWMhyBbmu6hOcLVD49,spotify:track:4MzXwWMhyBbmu6hOcLVD49,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,https://api.spotify.com/v1/audio-analysis/4MzXwWMhyBbmu6hOcLVD49,205090,4,DÁKITI,"['Bad Bunny', 'Jhay Cortez']",M,colab,Puerto Rico,2,Spanish,RF,18.220833,-66.590149
0.688,0.881,7,-4.889,0,0.0474,0.0947,0,0.0804,0.677,123.013,audio_features,5fROvzNghPid8mbKNDYvpJ,spotify:track:5fROvzNghPid8mbKNDYvpJ,https://api.spotify.com/v1/tracks/5fROvzNghPid8mbKNDYvpJ,https://api.spotify.com/v1/audio-analysis/5fROvzNghPid8mbKNDYvpJ,191526,4,YO VISTO ASÍ,['Bad Bunny'],M,solo,Puerto Rico,1,Spanish,R,18.220833,-66.590149
0.856,0.618,7,-4.892,1,0.286,0.0303,0,0.0866,0.391,81.993,audio_features,2XIc1pqjXV3Cr2BQUGNBck,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,https://api.spotify.com/v1/tracks/2XIc1pqjXV3Cr2BQUGNBck,https://api.spotify.com/v1/audio-analysis/2XIc1pqjXV3Cr2BQUGNBck,203201,4,LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",V,colab,Puerto Rico,2,Spanish,RF,18.220833,-66.590149
0.798,0.625,4,-6.83,1,0.13,0.383,3.35E-05,0.125,0.774,92.994,audio_features,3oB0bcIVRVZgCkWif0H4vV,spotify:track:3oB0bcIVRVZgCkWif0H4vV,https://api.spotify.com/v1/tracks/3oB0bcIVRVZgCkWif0H4vV,https://api.spotify.com/v1/audio-analysis/3oB0bcIVRVZgCkWif0H4vV,129333,4,PPP,['Kevin Roldan'],M,solo,Colombia,1,Spanish,R,4.5709,-74.2973
0.69,0.385,0,-8.444,1,0.0817,0.181,0,0.236,0.19,129.958,audio_features,0K0soSt52EhMS9FohRObdK,spotify:track:0K0soSt52EhMS9FohRObdK,https://api.spotify.com/v1/tracks/0K0soSt52EhMS9FohRObdK,https://api.spotify.com/v1/audio-analysis/0K0soSt52EhMS9FohRObdK,226101,4,Cómo Le Digo,['KHEA'],M,solo,Argentina,1,Spanish,R,-38.4161,-63.6167
0.447,0.912,11,-2.163,0,0.0615,0.00595,0.000423,0.189,0.216,111.137,audio_features,6Otf2csWGb04Dwj7Wn8U9m,spotify:track:6Otf2csWGb04Dwj7Wn8U9m,https://api.spotify.com/v1/tracks/6Otf2csWGb04Dwj7Wn8U9m,https://api.spotify.com/v1/audio-analysis/6Otf2csWGb04Dwj7Wn8U9m,266965,4,Nervous Habits (feat. Joey Fleming),"['GG Magree', 'Joey Fleming']",V,colab,Australia,2,English,R,-32.106275,141.3554875
